id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-05-27 09:46:01,"{""short_code"":""yF6Y6L"",""original_url"":""https://relay.cloud/quiet/journey/1""}"
2,2,387,created,2025-03-15 09:30:32,"{""short_code"":""Tu8ikg"",""original_url"":""https://example.com/navy/signal/2""}"
3,3,269,created,2026-01-21 03:18:32,"{""short_code"":""hTULV7"",""original_url"":""https://acme.dev/rapid/quartz/3""}"
4,4,168,created,2025-10-25 09:40:51,"{""short_code"":""IAoIlu"",""original_url"":""https://opswise.net/silver/yard/4""}"
5,5,251,created,2025-01-28 18:07:41,"{""short_code"":""3lhiRf"",""original_url"":""https://example.com/harbor/journey/5""}"
6,6,188,created,2025-12-29 04:38:20,"{""short_code"":""vaKN3q"",""original_url"":""https://seeded.app/cobalt/canyon/6""}"
7,7,259,created,2026-02-10 00:13:58,"{""short_code"":""gLzrU9"",""original_url"":""https://example.com/ivory/pioneer/7""}"
8,8,189,created,2025-06-25 11:29:25,"{""short_code"":""s7Bi9r"",""original_url"":""https://hackstack.io/jade/kernel/8""}"
9,9,313,created,2025-07-24 13:15:40,"{""short_code"":""J2BJxB"",""original_url"":""https://relay.cloud/lively/valley/9""}"
10,10,180,created,2025-10-10 15:34:16,"{""short_code"":""zSrUnX"",""original_url"":""https://opswise.net/young/window/10""}"
11,11,311,created,2025-12-19 12:17:46,"{""short_code"":""A0RTrR"",""original_url"":""https://hackstack.io/brisk/zenith/11""}"
12,12,118,created,2025-09-25 16:34:33,"{""short_code"":""nPcKRd"",""original_url"":""https://hackstack.io/gold/canyon/12""}"
13,13,217,created,2025-10-25 04:04:14,"{""short_code"":""LpC8Y2"",""original_url"":""https://relay.cloud/warm/valley/13""}"
14,14,325,created,2026-01-20 12:07:36,"{""short_code"":""5SKZMU"",""original_url"":""https://relay.cloud/forest/engine/14""}"
15,15,341,created,2025-06-04 11:00:22,"{""short_code"":""csjNpL"",""original_url"":""https://relay.cloud/ember/yard/15""}"
16,16,81,created,2025-11-04 18:27:06,"{""short_code"":""SphehR"",""original_url"":""https://hackstack.io/silver/window/16""}"
17,17,93,created,2025-11-17 23:47:06,"{""short_code"":""0EanpJ"",""original_url"":""https://acme.dev/navy/trail/17""}"
18,18,227,created,2025-06-25 10:32:15,"{""short_code"":""QX2dS6"",""original_url"":""https://opswise.net/calm/lagoon/18""}"
19,19,82,created,2025-06-26 22:48:50,"{""short_code"":""AM9Jpw"",""original_url"":""https://hackstack.io/clear/garden/19""}"
20,20,147,created,2025-09-17 22:59:15,"{""short_code"":""iRRCl8"",""original_url"":""https://opswise.net/forest/signal/20""}"
21,21,397,created,2025-05-04 18:17:03,"{""short_code"":""mrUl1J"",""original_url"":""https://example.com/amber/engine/21""}"
22,22,374,created,2025-12-12 13:25:02,"{""short_code"":""wNVo0p"",""original_url"":""https://seeded.app/mellow/harvest/22""}"
23,23,290,created,2025-03-23 16:45:47,"{""short_code"":""1AFbSI"",""original_url"":""https://example.com/opal/engine/23""}"
24,24,253,created,2025-02-16 17:26:09,"{""short_code"":""tUmMTG"",""original_url"":""https://hackstack.io/harbor/river/24""}"
25,25,35,created,2025-01-02 19:42:50,"{""short_code"":""drsGTb"",""original_url"":""https://seeded.app/tidy/trail/25""}"
26,26,28,created,2025-11-19 04:35:03,"{""short_code"":""eLnbjl"",""original_url"":""https://seeded.app/lively/river/26""}"
27,27,355,created,2025-10-23 01:51:22,"{""short_code"":""dFQzYk"",""original_url"":""https://seeded.app/young/network/27""}"
28,28,383,created,2025-09-24 03:23:15,"{""short_code"":""fS0ema"",""original_url"":""https://example.com/dawn/yard/28""}"
29,29,43,created,2025-10-27 02:19:49,"{""short_code"":""cjiOcy"",""original_url"":""https://example.com/quiet/river/29""}"
30,30,91,created,2025-07-17 02:39:58,"{""short_code"":""H667P1"",""original_url"":""https://example.com/harbor/anchor/30""}"
